"Net 
SY14-",Number,School,Street,Zip,Phone,MSDE Grade,Current Gr,Grade Conf,Lead,Management,,City,State,Country,addrtype,addrlocat,PNTCNT
7,4,Steuart Hill Academic Academy,30 S Gilmor Street,21223,410-396-1387,E,PK - 5,PK - 5,Tanyaneka Lipscomb,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,975
3,5,Langston Hughes Elementary,5011 Arbutus Avenue,21215,410-396-7827,E,PK - 5,PK - 5,Gloria Pulley,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,367
1,7,Cecil Elementary,2000 Cecil Avenue,21218,410-396-6385,E,PK - 5,PK - 5,Roxanne Forr,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,775
13,8,City Springs Elementary/Middle,100 S Caroline Street,21231,410-396-9165,EM,PK - 8,PK - 8,Rhonda Richetta,Charter,,Baltimore,MD,USA,street_address,ROOFTOP,231
8,10,James McHenry Elementary/Middle,31 S Schroeder Street,21223,410-396-1621,EM,PK - 8,PK - 8,Eugene Chong-Qui,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,863
3,11,Eutaw-Marshburn Elementary,1624 Eutaw Place,21217,410-396-0779,E,PK - 5,PK - 5,Evon Hewitt,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,784
9,12,Lakeland Elementary/Middle,2921 Stranden Road,21230,410-396-1406,EM,PK - 8,PK - 8,Najib Jammal,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,104
9,13,Tench Tilghman Elementary/Middle,600 N Patterson Park Avenue,21205,410-396-9247,EM,PK - 8,PK - 8,Jael Yon,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,553
10,15,Stadium School,1300 Gorsuch Avenue,21218,443-984-2682,M,6 - 8,6 - 8,Shana Hall,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,216
1,16,Johnston Square Elementary,1101 Valley Street,21202,410-396-1477,E,PK - 5,PK - 5,Raymond Braxton,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,879
1,21,Hilton Elementary,3301 Carlisle Avenue,21216,410-396-0634,E,PK - 5,PK - 5,Danielle Henson,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,135
2,22,George Washington Elementary,800 Scott Street,21230,410-396-1445,E,PK - 5,PK - 5,Christophe Turk,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,284
13,23,Wolfe Street Academy,245 S Wolfe Street,21231,410-396-9140,E,PK - 5,PK - 5,Mark Gaither,Charter,,Baltimore,MD,USA,street_address,ROOFTOP,183
3,24,Westside Elementary,2235 N Fulton Avenue,21217,410-396-0628,E,PK - 5,PK - 5,Brian Pluim,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,402
5,25,Dr. Rayner Browne Elementary/Middle,1000 N Montford Avenue,21213,410-396-9239,EM,PK - 8,PK - 8,Tetra Jackson,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,920
9,27,Commodore John Rodgers Elementary/Middle,100 N Chester Street,21231,410-396-9300,EM,PK - 8,PK - 8,Marc Martin,Traditional - Restart,,Baltimore,MD,USA,street_address,ROOFTOP,385
9,28,William Pinderhughes Elementary/Middle,701 Gold Street,21217,410-396-0800,EM,PK - 8,PK - 8,Federico Adams,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,1289
2,29,Matthew A. Henson Elementary,1600 N Payson Street,21217,410-396-0776,E,PK - 5,PK - 5,David Guzman,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,676
8,31,Coldstream Park Elementary/Middle,1400 Exeter Hall Avenue,21218,410-396-6443,EM,PK - 8,PK - 8,Shakera Adkins,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,287
1,34,Charles Carroll Barrister Elementary,1327 Washington Boulevard,21230,410-396-5973,E,PK - 5,PK - 5,David Wunder,Traditional,,Baltimore,MD,USA,street_address,ROOFTOP,326
5,35,Harlem Park Elementary/Middle,1401 W Lafayette Avenue,21217,410-396-0633,EM,PK - 8,PK - 8,Bettye Adams,Traditional,,Baltimore,MD,USA,street_address,RANGE_INTERPOLATED,1403
