School,PNTCNT,area
Steuart Hill Academic Academy,499,39430.69609271034
Langston Hughes Elementary,133,31000.91750920893
Cecil Elementary,290,28847.935547804453
City Springs Elementary/Middle,24,28685.35844895556
James McHenry Elementary/Middle,111,52368.2559668587
Eutaw-Marshburn Elementary,186,34282.01458263572
Lakeland Elementary/Middle,13,33437.3983715385
Tench Tilghman Elementary/Middle,425,25250.780182243507
Stadium School,44,18326.3714050196
Johnston Square Elementary,255,52167.59652770209
Hilton Elementary,36,18556.3981493913
George Washington Elementary,107,18911.03224509138
Wolfe Street Academy,28,7324.227418498464
Westside Elementary,259,16618.5320832068
Dr. Rayner Browne Elementary/Middle,608,30566.465360230202
Commodore John Rodgers Elementary/Middle,80,42077.404532947454
William Pinderhughes Elementary/Middle,270,52981.69329502624
Matthew A. Henson Elementary,358,20623.021678570643
Coldstream Park Elementary/Middle,27,58163.35000114523
Charles Carroll Barrister Elementary,115,4030.0272635045994
Harlem Park Elementary/Middle,514,65099.704702128365
Harford Heights Elementary,280,24780.083949733304
"Dallas F. Nicholas, Sr. Elementary",120,41757.63809472378
Montebello Elementary/Middle,15,2695.826364114
Federal Hill Preparatory Academy,9,11238.23654047309
Hampstead Hill Academy,1,1667.6101506808
Northeast Middle,5,24736.443810991
Abbottston Elementary,44,18326.3714050196
Waverly Elementary/Middle,30,27290.484948004083
Margaret Brent Elementary/Middle,26,24143.794257641002
Barclay Elementary/Middle,64,8630.225383943802
Hampden Elementary/Middle,7,7745.654898597701
Dr. Nathan A. Pitts-Ashburton Elementary/Middle,36,62048.04660505577
Gwynns Falls Elementary,15,48688.0309227214
John Eager Howard Elementary,98,32848.61814919995
Edgecombe Circle Elementary/Middle,22,25304.5577380521
Rosemont Elementary/Middle,140,95354.6961260493
Liberty Elementary,48,16737.513652873502
Mount Royal Elementary/Middle,2,36730.198823664
Edgewood Elementary,13,56122.657154170796
Sarah M. Roach Elementary,63,94577.65236815801
Calverton Elementary/Middle,86,38217.28000322861
Francis Scott Key Elementary/Middle,6,26029.1868656898
North Bend Elementary/Middle,1,13909.1617436872
William Paca Elementary,226,5982.1447837754
