,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,lat,long
0,5130 019B,0,EVESHAM PARK,4.0,NORTHERN,"(39.36641122, -76.60923528)",39.36641122,-76.60923528
1,4843J022G,0,NORTH ROLAND PARK/POPLAR HILL,5.0,NORTHERN,"(39.36705913, -76.63234321)",39.36705913,-76.63234321
2,6066 002,5521 FRANKFORD AVE,FRANKFORD,2.0,NORTHEASTERN,"(39.32195625, -76.54171844)",39.32195625,-76.54171844
3,7364 008,0,FAIRFIELD AREA,10.0,SOUTHERN,"(39.23725985, -76.5802659)",39.23725985,-76.5802659
4,4138 009,1656 ABBOTSTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32228032, -76.5931578)",39.32228032,-76.5931578
5,1669 068,406 N DUNCAN ST,CARE,13.0,EASTERN,"(39.29583961, -76.58719554)",39.29583961,-76.58719554
6,4622 010,4705 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34455027, -76.67015404)",39.34455027,-76.67015404
7,2255 034,50 S MORLEY ST,SAINT JOSEPHS,8.0,SOUTHWESTERN,"(39.28570746, -76.67547716)",39.28570746,-76.67547716
8,6587A016,0,CANTON INDUSTRIAL AREA,1.0,SOUTHEASTERN,"(39.27728219, -76.55562352)",39.27728219,-76.55562352
9,0172 016,930 W LEXINGTON ST,POPPLETON,9.0,WESTERN,"(39.29119207, -76.63333204)",39.29119207,-76.63333204
10,0010 034,1620 PRESBURY ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30814214, -76.64466562)",39.30814214,-76.64466562
11,6049 054,0,FRANKFORD,2.0,NORTHEASTERN,"(39.32427308, -76.53643278)",39.32427308,-76.53643278
12,2140 011,2643 1/2 FREDERICK AVE,MILLHILL,9.0,SOUTHWESTERN,"(39.28111385, -76.65858085)",39.28111385,-76.65858085
13,3350D100,0,PARKLANE,6.0,NORTHERN,"(39.34183536, -76.66358449)",39.34183536,-76.66358449
14,1529 084A,1201 1/2 N BROADWAY,MIDDLE EAST,12.0,EASTERN,"(39.30408267, -76.59431411)",39.30408267,-76.59431411
15,1158 085,1223 HOLBROOK ST,OLIVER,12.0,EASTERN,"(39.30464384, -76.60275983)",39.30464384,-76.60275983
