TAG,LAST_ORG,CAPTURE_ME,LAST_USER,EDIT_DATE,BLOCKNUM,PARCELNUM,PIN,CNTGRAPH,BLOCKLOT,SUBTYPE_GE,SHAPE_Leng,SHAPE_Area,FULLADDR,STDIRPRE,ST_NAME,ST_TYPE,BLDG_NO,UNIT_NUM,area
600000000134254,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0374,006,0374006,6,0374 006,1,259.452143653,1806.17943134,1411 ARGYLE AVE,,ARGYLE,AVE,1411,,168.240443
600000000042647,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4620,077,4620077,77,4620 077,1,236.561277197,2250.47611438,3337 WOODLAND AVE,,WOODLAND,AVE,3337,,209.637941
600000000131533,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1591,031,1591031,31,1591 031,1,152.871076957,756.997567849,2443 E EAGER ST,E,EAGER,ST,2443,,70.3901085
600000000011928,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",5493,021A,5493021A,21A,5493 021A,1,310.361300338,3255.07520322,0,,,,0,,303.199435
600000000211556,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",7882,003,7882003,3,7882 003,1,303.157536762,5085.22989644,2215 BREMEN ST,,BREMEN,ST,2215,,473.720425
600000000107600,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3424,105,3424105,105,3424 105,1,126.714148149,641.557798749,2202 MORRIS ST,,MORRIS,ST,2202,,59.7748192
600000000075501,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4075,015,4075015,15/16,4075 015,1,352.459115739,7160.6627343,500 MONTPELIER ST,,MONTPELIER,ST,500,,667.037039
600000000204782,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2118,063A,2118063A,63A,2118 063A,1,96.9299566684,442.800298438,0,,,,0,,41.2275571
600000000092301,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4061,033,4061033,33,4061 033,1,225.512390388,2205.37957238,617 SAINT ANNS AVE,,SAINT ANNS,AVE,617,,205.441446
600000000119721,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2315,013,2315013,13,2315 013,1,213.199037718,1365.69467466,1627 THOMAS AVE,,THOMAS,AVE,1627,,127.261421
600000000033457,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4285,017A,4285017A,17A,4285 017A,1,437.233877032,8679.71161827,0,,,,0,,808.566046
600000000116717,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2309,026,2309026,26,2309 026,1,219.612387656,1379.40160564,1716 N WARWICK AVE,N,WARWICK,AVE,1716,,128.408889
600000000203074,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2530C,085G,2530C085G,85G,2530C085G,1,58.5047746295,183.490154771,0,,,,0,,17.0336731
600000000159780,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0156,029,0156029,29,0156 029,1,164.171198786,842.076826258,1048 W SARATOGA ST,W,SARATOGA,ST,1048,,78.3902334
600000000118244,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0322,002,0322002,2,0322 002,1,200.942224321,1323.22899963,1902 MCCULLOH ST,,MCCULLOH,ST,1902,,123.250052
600000000124841,120,BLK,,"PyQt4.QtCore.QDate(2001, 7, 17)",0327,094,0327094,94,0327 094,1,130.24109313,622.270901292,1803 BRUNT ST,,BRUNT,ST,1803,,57.9752628
600000000088021,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4179E,143,4179E143,143,4179E143,1,190.024954102,1500.24136025,0,,,,0,,139.762125
600000000200161,160,BLK,,"PyQt4.QtCore.QDate(2003, 5, 15)",1897,039,1897039,39,1897 039,1,1118.7586146,14167.648561,3000 BOSTON ST,,BOSTON,ST,3000,,1319.88879
600000000053764,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",6019P,002,6019P002,2/2A,6019P002,1,107.287035219,232.348174166,0,,,,0,,21.6689279
600000000114768,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1111,051,1111051,51,1111 051,1,157.013132446,877.759603969,423 PITMAN PL,,PITMAN,PL,423,,81.839338
600000000055410,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",8265,014,8265014,14,8265 014,1,255.810043288,2158.25052349,0,,,,0,,201.046564
